day,hour,listeners,pageviews,host,showName,slug,archive_slug,description
1,6,26,10,,Classics,CL,CL_20600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
1,7,23,13,,Classics,CL,CL_20600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
1,8,20,49,,Classics,CL,CL_20600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
1,9,20,24,,Jazz,JAZZ,JAZZ_20900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
1,10,19,38,,Jazz,JAZZ,JAZZ_20900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
1,11,19,58,,Jazz,JAZZ,JAZZ_20900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
1,12,18,47,,Freaker's Ball,FKBL,FKBL,Join Freaker's Ball as we take you back to the founding of WREK with an appropriate soundtrack.
1,13,18,57,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,14,19,49,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,15,19,36,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,16,17,26,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
